Title,Price,Description,Location,Ddate Posted,Features,URL
Deseronto 3bdm 0 Down - RT0!!,"$1,450.00","[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div>This house is for sale for <strong>0 down payment, 0 deposit up front and pay 0 pay or 30 days</strong> and is an awesome opportunity to own now for this 3 bdrm, 1 bath 2 storey starter house with single garage and big yard in town of Deserontofor those who can qualify by having a good job and good credit rating! <strong>Good credit is a must!!</strong> Must have Equifax score of 700 or higher!In the beautiful town of Deseronto - 30 km east of Belleville, 50 km west of Kingston. Next to highway 401 on lake Ontario.<br/>Awesome, one of a kind opportunity to buy your own home now and never rent again! This house is in clean liveable shape but could use some tlc here and there. If you have a good job and good credit then message me asap to view anytime!! Payments for ownership with 0 down payment are 1300 per month principle and interest and 150 for property taxes.... and payments start a month AFTER you move in!! Completely 0 down and 0 to move in! (if you meet the criteria of having good credit and job).</div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">476 Thomas Street, Deseronto, ON, K0K 1X0</span>","<time datetime=""2019-09-04T00:28:24.000Z"" title=""September 4, 2019 12:28 AM"">a day ago</time>","Unit TypeHouse : Bedrooms3 : Bathrooms1 : Parking Included3+ : Agreement TypeMonth-to-month : Pet FriendlyYes : Size (sqft)1,300 : FurnishedNo : Smoking PermittedYes : ",
Premium Office Tower - 43 Church St - Lease or Own,$640.00,"[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>Downtown St. Catharines’ most prestigious office tower is the ideal location for your modern office. Located on the right side of the downtown, beside the Robert Welch Court House, across the street from the City Hall, the CRA Federal Building and Market Square. This is the perfect location for you to serve the city as well as the entire Niagara Region.</p><p>The building offers a total of 85,000 sq. ft. of office space on 7 floors. One of the most desirable features of this building is that every unit features incredible natural light. It also includes one underground parking spot for every 3,000 sq. ft. of office space.</p><p>Lease or Own - 43 Church offers businesses the opportunity to lease or purchase their office space. Suites range in size from just over 500 sq. ft. to an entire floor of over 11,000 sq. ft. and can be customized to suit your needs. Please refer to the web site 43church.ca for a complete listing of available suites and details including amenities, pricing and videos showcasing the units and their views.</p><p>Keywords: Office Condos, Office, Lawyers, Bank, Accountants, Engineers, Architects, Professional Space, Restaurant, Space for Lease, High Tech, Technology, Incubator, Innovation</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">43 Church St, St. Catharines, ON L2R 7E1, Canada</span>","<time datetime=""2019-09-03T14:47:39.000Z"" title=""September 3, 2019 2:47 PM"">a day ago</time>",Size (sqft) : 395Furnished : No,
UPDATED 1 BEDROOM APARTMENT AVAILABLE ON BALLIOL STREET!,"$1,750.00","[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div>1 bedroom apartment available in the heart of Midtown Toronto!<br/><br/><p>Property Features:</p><ul><li>Fantastic mid-town location at an affordable price</li><li>Minutes from trendy restaurants &amp; shopping</li><li>Close to Davisville station</li><li>Security cameras on premises</li><li>Laundry facilities on-site (open 24 hours)</li><li>Underground parking available ($140/month)</li><li>Pet friendly</li></ul><br/><strong>1 Bedroom Suite Features:<br/>700 SQ FT</strong><br/><ul><li>Brand new stainless steel appliances</li><li>Granite countertops</li><li>Private balcony</li><li>Bright and spacious</li><li>Freshly painted suite</li></ul><br/>Please call 647-560-1768 or 416-821-5833 to schedule a viewing.</div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">657 Balliol Street, toronto, ON, M4S 1E6</span>","<time datetime=""2019-08-30T17:43:01.000Z"" title=""August 30, 2019 5:43 PM"">5 days ago</time>",Unit TypeApartment : Bedrooms1 : Bathrooms1 : Parking Included0 : Agreement Type1 Year : Pet FriendlyYes : Size (sqft)662 : FurnishedNo : Air ConditioningNo : Smoking PermittedNo : ,
Parking Spots (Brybeck Crescent),$80.00,"[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>Two parking spots available for rent at $60 per month (per spot)
8 minute walk to Catalyst or Belmont Village</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">35 Brybeck Crescent, Kitchener, ON N2M 2C5, Canada</span>","<time datetime=""2019-09-04T12:32:09.000Z"" title=""September 4, 2019 12:32 PM"">about 13 hours ago</time>",More Info : Parking,
Furnished house  on  Rideau lakes.,"$2,400.00","[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>Just 5 minutes from Smiths Falls , this fully furnished home located on the shores of Rideau lake is available for short term rental from November 1st to May 1st.
Two car garage, office area, high speed internet service, gas fireplace in family room. Game room with pool table. Hot tub.
The most spectacular sunsets.
Two full baths, master with jacuzzi tub, on- suite with second bedroom. Third bedroom presently set-up as office could be easily third bedroom. Laundry room, all typical appliances.
Non smoker.
2,400 per month plus heat and hydro.
First month and damage deposit.</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">K7A5B8, Canada</span>","<time datetime=""2019-09-04T12:32:05.000Z"" title=""September 4, 2019 12:32 PM"">about 13 hours ago</time>",Bedrooms : 3Bathrooms : 2Furnished : Yes,
"Large 3 bedroom, 2 baths, condo apartment on ground floor.","$2,650.00","[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>Large 3 bedroom, 2 baths, condo apartment on ground floor.
Buses and Go train all very close and Hillcrest Mall on next block.
Master bedroom, walk in closet, 4 pc. bathroom.
Second and third bedroom with closet.
Main bathroom 4pc., and laundry room with washer and dryer.
Kitchen with all appliances.
2 car underground parking and storage locker.
Outdoor swimming pool and club house recreation.
Call: 416 436 4354</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">70 Baif, L4C 5L2, Richmond Hill, ON</span>","<time datetime=""2019-09-04T12:31:39.000Z"" title=""September 4, 2019 12:31 PM"">about 13 hours ago</time>","Unit TypeCondo : Bedrooms3 : Bathrooms2 : Parking Included2 : Agreement Type1 Year : Move-In DateSeptember 15, 2019 : Pet FriendlyNo : Size (sqft)1,400 : FurnishedNo : Air ConditioningYes : Smoking PermittedNo : ",
3 Bdrm House for Rent - Brand New Floors & Paint,"$1,995.00","[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>This 3 bdrm detached home rents for $1995/mnth plus utilities.</p><p>1500 sq ft including finished basement.</p><p>Features: -</p><p>• Brand new paint throughout - ready for Oct 1
• Brand new carpet on all stairs - ready for Oct 1
• Brand new laminate flooring on top floor &amp; finished basement - ready for Oct 1
• Finished basement including 2-piece bathroom
• 6 appliances including dishwasher &amp; microwave
• All window coverings
• Hardwood in living room
• Central Vacuum
• Air Conditioning
• Garage with door opener
• Fully fenced back yard complete with a shed, convenient gas fire pit and a stone patio
• Great location in popular south end of Barrie on bus route with 2 plazas, schools and amenities nearby</p><p>Applicant must be employed.</p><p>First and last, references, application and credit check are required.</p><p>Please leave your name &amp; PHONE NUMBER to arrange a viewing. Thank you.</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">, L4N 9Z2, Barrie, ON</span>","<time datetime=""2019-09-04T12:31:12.000Z"" title=""September 4, 2019 12:31 PM"">about 13 hours ago</time>","Unit TypeHouse : Bedrooms3 : Bathrooms1.5 : Parking Included3+ : Agreement Type1 Year : Move-In DateOctober 1, 2019 : Pet FriendlyLimited : Size (sqft)1,500 : FurnishedNo : Air ConditioningYes : Smoking PermittedOutdoors Only : ",
Room for rent ASAP university or college students.,Please Contact,"[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>Middle room 550$ no exceptions.
Utilities included
International students
(No sharing allowed in this room)</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">239 Crawford Ave, Windsor, ON N9A 5C3, Canada</span>","<time datetime=""2019-09-04T12:31:08.000Z"" title=""September 4, 2019 12:31 PM"">about 13 hours ago</time>",Furnished : YesPet Friendly : No,
OUTDOOR AND ONSITE STORAGE SPECIAL 8'X20' $100.00/MTH,Please Contact,"[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>584 HAZELHURST DRIVE MISSISSAUGA ***WINSTON CHURCHILL BLVD/ROYAL WINDSOR AREA
3 MONTH SPECIAL ONSITE STORAGE 8'X20' $100.00 PER MONTH PLUS TAX
OUTDOOR PARKING up to 100 Trailers STARTING AT $150 per trailer plus tax
(pricing vary based on length!!!)
CARS RV'S TRUCKS CALL/TEXT DETAILS FOR RATES
CONTRACTORS WELCOME
ONSITE STORAGE UNITS REGULAR PRICING 8'X20' $150 Per month plus tax
In Mississauga available immediately
GATED AND FENCED 24/7 VIDEO CAMERAS
9056935355</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">Mississauga, ON L4T0A2, Canada</span>","<time datetime=""2019-09-04T12:31:07.000Z"" title=""September 4, 2019 12:31 PM"">about 13 hours ago</time>",More Info : Parking,
Wanted: Im Looking for a One Bedroom Apartment $500 to $700.00,Please Contact,"[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>Im Looking for a 1 Bedroom Apartment in the Ottawa Area. Asap Move In.
I work full time in Renovation and Repairs. I can pay Cash first and Last ASAP.
Seperate Entrance and if You Have Parking . If not ok.
Between $500.00 to $700.00
Please text Jay 647-667-5082</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">, Ottawa m6h3s4 ON, Canada</span>","<time datetime=""2019-09-04T12:30:52.000Z"" title=""September 4, 2019 12:30 PM"">about 13 hours ago</time>","Unit TypeHouse : Bedrooms1 : Bathrooms1 : Parking Included1 : Agreement TypeMonth-to-month : Move-In DateSeptember 21, 2019 : Pet FriendlyLimited : Size (sqft)500 : FurnishedNo : Air ConditioningNo : Smoking PermittedNo : ",
