Title,Price,Description,Location,Ddate Posted,Features,URL
One Bedroom Suites Cherryhill Village  for Rent - 301 Oxford...,"$1,145.00","[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>Proximate to Western University, dining options, and the mall, with a pool and health club, Cherryhill Village is located at Oxford Street and Platts Lane in the University Heights neighbourhood.</p><p><strong><u>Pets:</u></strong></p><p>Cherryhill Village is 100% pet friendly </p><p><strong><u>Neighbourhood Features:</u></strong></p><ul> <li>Walk Score: 72, walkable </li> <li>Transit Score: 56, public transit nearby</li> <li>Bike: very bikeable</li></ul><p>Inquire today or visit minto.com to learn more.</p><p>*Prices and specifications subject to change without notice. Errors and Omissions excepted.</p><br/><strong>Amenities</strong><br/><ul><li>24 Hour Emergency Service</li><li>Bicycle Storage </li><li>Carpeted floors</li><li>Elevators</li><li>Family Friendly </li><li>Fitness room</li><li>Fridge</li><li>Gardening Plots</li><li>Green Space</li><li>Hot tub</li><li>In-Building Laundry</li><li>Indoor pool</li><li>Laundry facilities</li><li>Near Clinics or Hospitals </li><li>Near Parks and Trails</li><li>Newly Renovated</li><li>Onsite Pharmacy</li><li>Outdoor BBQ Area </li><li>Outdoor Exercise Stations</li><li>Outdoor parking</li><li>Outdoor pool</li><li>Parks nearby</li><li>Pedestrian Friendly</li><li>Pet Friendly </li><li>Picnic Area</li><li>Playground</li><li>Public transit</li><li>Resident Lounge</li><li>Sauna</li><li>Schools nearby</li><li>Security Controlled Access</li><li>Shopping nearby</li><li>Shuffle Board</li><li>Social room</li><li>Storage Space</li><li>Stove</li><li>Tennis Court</li><li>Walk-in Closets (Select Suites)</li><li>Wheelchair access</li><li>Woodworking Shop</li></ul></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">301 Oxford St. W, London, ON, N6H 1S6</span>","<time datetime=""2019-09-04T17:54:00.000Z"" title=""September 4, 2019 5:54 PM"">about 2 hours ago</time>",Unit TypeApartment : Bedrooms1 : Bathrooms1 : Pet FriendlyYes : Size (sqft)0 : FurnishedNo : ,
Upgraded 2 bedroom apartment for rent in Owen Sound!,"$1,625.00","[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p><strong>Fantastic 2 bedroom apartment, GREAT VALUE! Utilities Included! Office open daily, CALL TODAY!<br/><br/></strong></p><p><strong>Mature adults, if youre looking for a central location in Owen Sound that makes it easy to get around town and run errands, then Marlan Towers is the place for you!</strong></p><p>Realstar's Marlan Towers Apartments in Owen Sound are ideally located off of Highway 6 and near public transit. There are many local shops, parks and eateries all within walking distance.A social room brings our adult community together throughout the year for resident events and a friendly sense of community. Discreet cameras and controlled entry in the lobby provide peace of mind. Our on-site management ensures the property is well-maintained and landscaping is always beautiful.</p><p><strong>Suite Features:</strong></p><ul><li>Fridge, stove and dishwasher</li><li>In-suite storage</li><li>Balcony/ patio</li><li>Utilities included</li></ul><p><strong>Property Features:</strong></p><ul><li>Social room with numerous events</li><li>Patio lounge and gazebo area</li><li>Laundry facility</li><li>Surface parking</li><li>Secured entry</li><li>24/7 on-site management</li></ul><p><strong>Neighbourhood / Attractions:</strong></p><ul><li>Tim Hortons</li><li>Metro</li><li>Rexall Pharma Plus</li><li>The Brick</li></ul><p><br/><strong>Living with Realstar</strong><br/>Live well with 24 hour on-site management. Realstar strives to provide you with a superior living experience and exceptional resident care. We organize social events that foster a sense of community. Realstar buildings are impeccably clean, well maintained and environmentally efficient.<br/><br/><strong>755 10th St. W., Owen Sound, ON, N4K 6J7<br/><br/>The rental office is open daily with 24 hour application approval. Realstar makes renting easy. Come view this apartment today!<br/><br/>Call: 519-372-1062</strong></p><p><em>*Prices, incentives, availability and specifications are subject to change. Images may not reflect actual suite finishes. E.&amp;O.E;<strong>.</strong></em></p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">755 Tenth Street West, Owen Sound, ON, N4K 6J7</span>","<time datetime=""2019-08-29T00:09:19.000Z"" title=""August 29, 2019 12:09 AM"">7 days ago</time>",Unit TypeApartment : Bedrooms2 : Bathrooms1 : Parking Included0 : Agreement Type1 Year : Pet FriendlyLimited : FurnishedNo : Smoking PermittedNo : ,
Well furnished room in a super clean house in Brampton,$800.00,"[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>I have one bed room available in my house (not a basement) its on second floor. Room is well furnished and its a super clean house, so want someone professional who is quiet and clean plus a full time working individual with job letter and pay stubs, 2 references and photo id. The house is very close to mount pleasant go station plus the bus stop is right at the door. All utilities are included in the rent, unlimited high speed internet, laundry and one parking spot available on drive way. The monthly rent is $800 firm for this room, this is what the other guys are paying If there are two guys or girls so the rent would be $450 for each person .... First and last month rent required. Room is available from September 1st 2019.
Please call at 647 330 0230 or leave your name and number to call. Please don't ask if the room is still available. If you see the ad is up, means its still available. Phone calls appreciated or leave your name and number to call. Thanks</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">31 Portstewart Crescent, Brampton, ON L6X 0R6, Canada</span>","<time datetime=""2019-09-01T19:26:36.000Z"" title=""September 1, 2019 7:26 PM"">3 days ago</time>",Furnished : YesPet Friendly : No,
"Cambridge - Secure Outdoor Parking (Vehicles, Boats, RVs)",$55.00,"[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>Canam Self Storage has a secure state of the art, fenced and gated outdoor parking yard for vehicles, trailers, mobile homes, RVs, and boats.</p><p>Our yard is clean, maintained and under 24 hour video surveillance. Customers will be provided individual keypad access to the yard, 24 hours a day 7 days a week.</p><p>Rates are determined by size</p><p>19' and under -- $55/month
20-28' -- $65/month
29-35' -- $75/month
36'+ -- $85/month</p><p>Spots are being reserved quickly for the winter season, contact now to secure your spot.
You can secure your spot with a $50 deposit, which will be taken off the first months rent payment.</p><p>Please contact 905-807-4955, or info@canamselfstorage.ca with any questions.</p><p>Visit www.canamselfstorage.ca for more information about our climate controlled self storage lockers in Waterloo and Cambridge.</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">111 Savage Dr, Cambridge, ON N1T 1S5, Canada</span>","<time datetime=""2019-09-02T22:55:50.000Z"" title=""September 2, 2019 10:55 PM"">2 days ago</time>",More Info : Parking,
MAIN FLOOR 1 BEDROOM APT IN AN 11 PLEX,$850.00,"[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>Available for Oct 1st is a 1 bedroom apt in a controled 11 plex building. This is a main floor unit &amp; coin opp laundry onsite plus storage locker. rent is $850/ mth with a 1 year lease. This includes heat, hydro &amp; water.
First &amp; last plus refrences. Please email Denis at zoomzoomdenis@live.com to view.</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">507 St Raphael st, Sudbury P3G1M3 ON</span>","<time datetime=""2019-09-01T00:55:07.000Z"" title=""September 1, 2019 12:55 AM"">4 days ago</time>","Unit TypeApartment : Bedrooms1 : Bathrooms1 : Parking Included1 : Agreement Type1 Year : Move-In DateOctober 1, 2019 : Pet FriendlyLimited : Size (sqft)480 : FurnishedNo : Air ConditioningNo : Smoking PermittedOutdoors Only : ",
1 Bed / 1 Bath Private Suite in House - Long Term Rental – PEC,"$1,250.00","[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>Spacious 1 bedroom, 1 bathroom lower apartment in an updated modern home, backing onto Pleasant Bay in Prince Edward County. Open design, with room for both a small office and living room. Two separate entrances (including direct walkout to backyard), and water views from the backyard. Tons of outdoor space. Includes in-suite laundry, parking for 1 vehicle on the driveway. Rent includes: water, heat. Exclusions: hydro, garage access. Close to Highway 401, North Beach Provincial Park. Strictly non-smoking. First &amp; last month rent upon move-in. References required.</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">19185 Loyalist Pkwy, Consecon, ON K0K 1T0, Canada</span>","<time datetime=""2019-09-04T16:26:36.000Z"" title=""September 4, 2019 4:26 PM"">about 3 hours ago</time>","Unit TypeBasement : Bedrooms1 + Den : Bathrooms1 : Parking Included1 : Agreement Type1 Year : Move-In DateSeptember 4, 2019 : Pet FriendlyLimited : Size (sqft)1,000 : FurnishedNo : Air ConditioningNo : Smoking PermittedNo : ",
$1349 – Gorgeous 1+ den bsmt apt near trendy St. Clair W,"$1,349.00","[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>1 BEDROOM + DEN • cool building, steps away from TTC and awesome Cedarvale Park • brand new renovation including glass shower • stunning granite countertops • stainless steel appliances • LED pot lighting • completely separate entrance at rear of building with skylight • price includes utilities Please forward recent credit check and a reference from employer and/or past landlord.</p><p>Available October 1st 2019</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">419 Vaughan Rd, York, ON M6C 2P1, Canada</span>","<time datetime=""2019-09-04T16:26:19.000Z"" title=""September 4, 2019 4:26 PM"">about 3 hours ago</time>","Unit TypeBasement : Bedrooms1 + Den : Bathrooms1 : Parking Included0 : Agreement Type1 Year : Move-In DateOctober 1, 2019 : Pet FriendlyNo : Size (sqft)1 : FurnishedNo : Air ConditioningNo : Smoking PermittedNo : ",
Beechwood Village - 1+Den ALL INCLUSIVE!!,"$1,300.00","[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>Located in trendy Beechwood Village. Enjoy restaurants, boutiques, cafes, grocery stores, bicycle/walking paths and many other amenities all just steps away. Also, only a few minutes drive or short bike ride to the Byward Market (downtown).
This large 1bedroom + den basement apartment offers a spacious open-concept kitchen/living area, in-suite laundry and laminate floors throughout. ALL UTILITIES are included: heat, hydro and water
Street parking (unit does not have a space)
No smoking.
Credit, employment/income verification documents and references required.
Avalable: October 1st (flexible)
Call or email 613.864.6635</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">Barrette St, Ottawa, ON K1L, Canada</span>","<time datetime=""2019-09-04T16:26:18.000Z"" title=""September 4, 2019 4:26 PM"">about 3 hours ago</time>","Unit TypeApartment : Bedrooms1 + Den : Bathrooms1 : Parking Included0 : Agreement Type1 Year : Move-In DateOctober 1, 2019 : Pet FriendlyLimited : Size (sqft)800 : FurnishedNo : Air ConditioningNo : Smoking PermittedOutdoors Only : ",
Full Furnished Studio -- Downtown --Avail now!,"$2,000.00","[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>This bachelor unit is located in a 4 plex in a central location on Adie St.
2nd level, with private entrance off of large deck area!</p><p>Currently avail Aug 28</p><p>Unlimited Bell Fiber WiFi
TV w/ android box
Air condition
Appliances: Washer, dryer, fridge &amp; stove
Microwave/toaster/coffee maker/cutlery/plates/cups
bed/mattress/bedding/towels
Desk/chair/love seat/table w/ 2 chairs</p><p>Smoke free building
Private entrance with private large deck area
1 parking spot available</p><p>First/last required, key deposit, photo ID
1 month Minimum at $2,000
6 month to 1 year lease - $1450</p><p>Call/text 705.626.6015 to book a showing</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">Adie St, Sudbury, ON P3C 2C8, Canada</span>","<time datetime=""2019-09-04T16:25:57.000Z"" title=""September 4, 2019 4:25 PM"">about 3 hours ago</time>",Bedrooms : Bachelor/StudioBathrooms : 1Furnished : YesPet Friendly : No,
ROOM FOR RENT,$250.00,"[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>One hall room vacant for one boy or a girl
Rent is $250 included everything.
House is located at the backside of Freshco. Hurom Church.</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">1770 Daytona Ave, Windsor, ON N9B 3W5, Canada</span>","<time datetime=""2019-09-04T16:25:51.000Z"" title=""September 4, 2019 4:25 PM"">about 3 hours ago</time>",Furnished : Yes,
