Title,Price,Description,Location,Ddate Posted,Features,URL
Close to the Kingston Centre! 175 Park St - Bachelor!,$829.00,"[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>Homestead Land Holdings <br/><br/>Park Regency<br/>175 Park Street<br/>613-546-1462- Call today for a tour! (Monday-Friday 8:00am-8:00pm &amp; Saturday-Sunday 10:00am-4:00pm)</p><p>Bachelor available October 1!<br/>Starting at $829.00 a month plus hydro<br/>Parking is $50 to $70 monthly<br/><br/></p><p>Property Amenities<br/></p><ul><li>Close to Bus Route</li><li>Close to Schools</li><li>Close to Shopping</li><li>Dedicated On-Site Staff</li><li>Elevators</li><li>Laundry facilities</li><li>Online Payment Available</li><li>Outdoor parking</li><li>Pet Friendly</li><li>Pre-Authorized Payment Options</li><li>Visitor parking</li></ul><p></p><p>Suite Amenities<br/></p><ul><li>Balconies</li><li>City views</li><li>Fridge</li><li>Stove</li></ul><p></p><p>The upper Princess Street area is located in the geographical center of Kingston, close to the Kingston Shopping Centre,major banks, bus routes. This prime location is situated in a residential area of the city, yet all conveniences are within walking distance.</p><p>HOMESTEAD.CA<br/>We offer pre-authorized debit and online banking to make paying rent easy and simple.</p><p>*prices and availability subject to change. Pictures are for reference only.</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">175 Park Street, Kingston, ON, K7L 5E1</span>","<time datetime=""2019-09-04T12:30:00.000Z"" title=""September 4, 2019 12:30 PM"">about 13 hours ago</time>",Unit TypeApartment : BedroomsBachelor/Studio : Bathrooms1 : Parking Included0 : Agreement Type1 Year : Pet FriendlyYes : FurnishedNo : Air ConditioningNo : Smoking PermittedNo : ,
...2 Bedroom + 2 Bathroom + Parking in the Heart of Downtown T.O,"$2,900.00","[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>2 Bedroom + 2 Bathroom + Parking in the Heart of Downtown T.O.</p><p>AVAILABLE:October 1st, 2019</p><p>Lease Term: 12-Month Minimum</p><p>This modern 2-bedroom apartment offers city living at its best close to the downtown core as well as sitting right on the water. This unit features a stunning modern kitchen with stainless steel appliances including dishwasher, fridge, microwave, oven and stovetop. The unit also features 2 full piece bathrooms and the bedrooms are located at the opposite ends of the unit giving each Tenant the utmost privacy. The unit comes with parking.</p><p>PROPERTY FEATURES:</p><ul><li>Hardwood floors throughout</li><li>10 High Ceilings</li><li>Access to all amenities</li><li>Open plan kitchen with stainless steel appliances</li><li>Large sized bedrooms with plenty of closet space</li><li>2 modern bathroom finishes</li><li>Balcony with city views</li><li>Washer and dryer</li></ul><p>ADDITIONAL COSTS:</p><p>Hydro, Cable, Internet and Telephone.</p><p>BUILDING AMENITIES:</p><ul><li>Concierge</li><li>Boardroom</li><li>Fitness Centre</li><li>Theatre</li><li>Party Room</li><li>Billiards</li><li>Outdoor Terrace</li><li>Guest Suite</li></ul><p>Application Requirements:</p><ul><li>Application Form (http://performancepropertymanagement.ca/tenant-application-form/)</li><li>Employment Reference</li><li>Credit Check (which can be requested for free at wwww.borrowell.com)</li><li>Photo Identification</li></ul><p>Performance Property Management manages residential properties in Toronto and Greater GTA. For more information please visit us onwww.performancepm.com.</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">15 Bruyeres Mews, Toronto, ON, M5V 1B7</span>","<time datetime=""2019-09-04T12:30:00.000Z"" title=""September 4, 2019 12:30 PM"">about 13 hours ago</time>","Unit TypeCondo : Bedrooms2 : Bathrooms2 : Parking Included1 : Agreement Type1 Year : Move-In DateOctober 1, 2019 : Pet FriendlyLimited : FurnishedNo : Smoking PermittedNo : ",
Lots of Room For The Family - Villette Rental Pool | Two...,$930.00,"[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>You'll love these spacious two-level homes with private entrances and lots of on site parking.</p><br/><strong>Location Details</strong><br/><p>The building offers affordable rents, with a cozy, comfortable atmosphere. For viewing please contact Pam or Al at 519-332-7985 or email to pcole@cogeco.ca. Spots are filling up fast so don't be disappointed - call today! Convenient location close to shopping, schools and health care.</p><br/><strong>Property Amenities</strong><br/><ul><li>Outdoor parking</li></ul><br/><strong>Suite Amenities</strong><br/><ul><li>Internet ready</li><li>Newly Renovated</li><li>Air Conditioning</li></ul></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">82 Finch Drive, Sarnia, ON, N7S 4T8</span>","<time datetime=""2019-09-04T12:30:00.000Z"" title=""September 4, 2019 12:30 PM"">about 13 hours ago</time>","Unit TypeHouse : Bedrooms2 : Bathrooms1 : Pet FriendlyYes : Size (sqft)1,345 : FurnishedNo : ",
5 Of The Most Luxurious Condo In Downtown Toronto,"$2,650.00","[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><strong>We Only Rent The Most Luxurious Condo In Downtown Toronto<br/></strong><br/><em>Bright 2 Bedroom Suite With High-Floor Spectacular City View In The Most Coveted Establishment In The Very Heart Of The Entertainment District. Enjoy A Very Practical Split-Bedroom Layout, Stunning And Practical Modern Kitchen With Added Island, Upgraded Bathroom With Walk-In Shower, Hardwood Flooring Throughout, Floor-To-Ceiling Windows And Large Balcony!</em><br/><br/><br/><br/><ul><li></li><li><strong>2Bed 2Bath Condo With Parking @ 560 King St Approx 850sq $2650</strong></li><li><strong>2Bed 2Bath Condo With Parking @ 352 Front St Approx 800sq $2700</strong></li><li><strong>2Bed 2Bath Condo With Parking @ 300 Front St Approx 850sq $2900</strong></li><li><strong>2Bed 2Bath Condo With Parking @ 36 Blue Jay Approx 1000sq $2800</strong></li><li><strong>2Bed 2Bath Condo With Parking @ 101 Peter Approx 800sq $2700</strong></li><li><strong>2Bed 2Bath Condo With Parking @ 33 University Approx 900sq $2900</strong></li><li><strong>You can simply call us and We will find the right Condo for you.</strong></li></ul><em></em><br/><br/><strong>You Must Have A Employment Letter and Credit Check<br/>Hydro Is Extra</strong><br/><br/><br/><strong><br/>Kevin Hobbi<br/>"" Award Winner In Year 2014 ,2015 AND 2016 ""<br/>Sales Rep<br/>Forest Hill<br/>DIR: 416-616-9577<br/>We Dont Reply To Any Emails , call us and get your self a dream home in short time</strong></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">295 Adelaide-300 Front St-33 Bay, toronto, ON, M5J 2Z3</span>","<time datetime=""2019-09-04T12:30:00.000Z"" title=""September 4, 2019 12:30 PM"">about 13 hours ago</time>",Unit TypeApartment : Bedrooms2 : Bathrooms2 : Pet FriendlyNo : FurnishedNo : ,
Homestay for FEMALE international students,$600.00,"[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>Homestay available for ESL students from September.2019.
Private bedroom available in a house for 1 female student.
Fully furnished- bed, desk, chair, tv, closet with private bathroom in the room.
Close to Victoria Park x Eglinton.
Included:
Breakfast, laundry, WiFi, heat, hydro &amp; air conditioning</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">Toronto, ON M1L2N8, Canada</span>","<time datetime=""2019-09-04T12:29:47.000Z"" title=""September 4, 2019 12:29 PM"">about 13 hours ago</time>",Furnished : YesPet Friendly : No,
Parking for rent at 55 Centre Avenue ,$200.00,"[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>There is a parking available for rent at 55 Centre Avenue. Close to Eaten Centre, St.Patrick subway station and U of T University. Looking for a long term renter. Please contact:416-801-1978.</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">55 Centre Ave, Toronto, ON M5G 2H5, Canada</span>","<time datetime=""2019-09-04T12:29:35.000Z"" title=""September 4, 2019 12:29 PM"">about 13 hours ago</time>",More Info : Parking,
Wanted: Want To Rent A Room In An Apartment Burlington ,Please Contact,"[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>I am a 60 year old gentleman looking for a room to rent in Burlington. I do need a parking space for one vehicle and a bit of storage for some boxes and one bicycle. I have my own bed and dresser.</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">L7P3R9, Canada</span>","<time datetime=""2019-09-04T12:29:27.000Z"" title=""September 4, 2019 12:29 PM"">about 13 hours ago</time>",Furnished : No,
Basement Apartment For Rent near Morningside Ave and Staines Rd.,"$1,400.00","[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>Large , clean, and spacious basement for rent. The unit has plenty of natural light and has a private entrance on the side of the house away from home owners.</p><p>The residence is very quiet because owners are retired seniors.</p><p>High speed internet, HD antenna TV which gives you 30 channels , utilities and laundry are included in the rent.</p><p>Rent is $1,400 monthly and parking is not included but is available for $100 monthly. Basement comes unfurnished but can be furnished for an additional cost of $150 monthly.</p><p>This unit will go fast, October 1, 2019 move in date with the ability to move in as early as September 23, 2019.</p><p>Currently setting appointments for viewing this Saturday.</p><p>-Nabeel
(647) 209-6245</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">Toronto, ON M1X1Y9, Canada</span>","<time datetime=""2019-09-04T12:29:25.000Z"" title=""September 4, 2019 12:29 PM"">about 13 hours ago</time>","Unit TypeBasement : Bedrooms1 : Bathrooms1.5 : Parking Included0 : Agreement Type1 Year : Move-In DateOctober 1, 2019 : Pet FriendlyNo : Size (sqft)750 : FurnishedNo : Air ConditioningYes : Smoking PermittedNo : ",
House for rent ,"$2,200.00","[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>Three bedrooms with two garages</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">K8N2Y8, Canada</span>","<time datetime=""2019-09-04T12:28:56.000Z"" title=""September 4, 2019 12:28 PM"">about 13 hours ago</time>","Unit TypeHouse : Bedrooms3 : Bathrooms2.5 : Parking Included3+ : Agreement Type1 Year : Move-In DateOctober 1, 2019 : Pet FriendlyNo : Size (sqft)2,400 : FurnishedNo : Air ConditioningYes : Smoking PermittedNo : ",
3 BDRM 2 WR NEWLY RENOVATED BUNGALOW HOUSE @ SCARBOROUGH KENNEDY,"$2,500.00","[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>3 spacious bedroom 2 washroom house for rent, Ideal for a family. New floors and wall ready to move in. Located near Kennedy Subway Station (you can walk from the station to house). 2 elementary schools nearby. Lots of parks, No frills, shoppers drug mart, giant tiger and restaurants all within 10 min walking distance. Near bus stop. Good child friendly neighbourhood, just 10 min drive to beautiful and famous Scarborough Bluffs beach and park. Call and view property at any time. 34 Merrian Road.</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">52 Merrian Rd, Scarborough, ON M1K 3M7, Canada</span>","<time datetime=""2019-08-30T03:07:20.000Z"" title=""August 30, 2019 3:07 AM"">6 days ago</time>","Unit TypeHouse : Bedrooms3 + Den : Bathrooms2 : Parking Included2 : Agreement Type1 Year : Move-In DateAugust 31, 2019 : Pet FriendlyLimited : Size (sqft)2,500 : FurnishedNo : Air ConditioningYes : Smoking PermittedOutdoors Only : ",
